name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
88,"ENSMUSG00000021265,77.54856549672279,4.407831809940849,0.9794222809202858,4.5004406126019,6.781274929013501e-06,8.94622026489698e-05"
89,"ENSMUSG00000028013,143.329747677174,2.22379850052206,0.498203730697619,4.46363277410257,8.058162526248981e-06,0.00010476391357940401"
90,"ENSMUSG00000012519,144.203320191206,2.19454543923377,0.49368657857602,4.44521997248471,8.780198063578231e-06,0.000113382749994092"
91,"ENSMUSG00000020628,124.86907219561701,2.3153026987798904,0.5210282785517001,4.44371792106126,8.84175119012777e-06,0.00011406793322134099"
92,"ENSMUSG00000115700,203.408173987778,1.9617398258142,0.44840611669661895,4.37491763106673,1.2147833968363301e-05,0.00015008777386855501"
93,"ENSMUSG00000045440,150.418097464087,2.1051720567087,0.485289817363777,4.33796873823679,1.4380560315557801e-05,0.000175414100851899"
94,"ENSMUSG00000040289,213.172351791777,1.7444555824469299,0.40219805310946005,4.33730488986771,1.4424047724723598e-05,0.000175625531226689"
95,"ENSMUSG00000086324,143.434025693096,2.1163727054084,0.502073813183049,4.21526207867925,2.49488291239376e-05,0.000285646014607402"
96,"ENSMUSG00000073528,169.91276257214702,1.8714218965216398,0.44472109266395293,4.20807991208944,2.5754979249251604e-05,0.000293624254089516"
97,"ENSMUSG00000091191,313.208812647697,1.52195019345153,0.36191433126017103,4.20527749799838,2.60762014269775e-05,0.000297034253744112"
98,"ENSMUSG00000063646,264.305216049646,1.5258437992279301,0.369490353115384,4.1295903569949,3.63410159826069e-05,0.0003964742848468"
99,"ENSMUSG00000047040,56.59241333630429,3.28532362569637,0.802988321016499,4.0913716173823,4.2882932117433396e-05,0.000456353231645904"
100,"ENSMUSG00000096766,119.072061213012,2.19421245946971,0.53687513211961,4.08700706774561,4.36973812322976e-05,0.000464652280245254"
101,"ENSMUSG00000078370,3115.41474780579,2.21772703486202,0.5514153794682549,4.02188099468795,5.77352275931064e-05,0.00059234843894226"
102,"ENSMUSG00000113852,116.39374517065201,2.24065213410212,0.557387399862883,4.0199188834432205,5.82181831030972e-05,0.00059653974277587"
103,"ENSMUSG00000100301,186.16100621326902,1.8374790606525502,0.45748752923216107,4.016457156190779,5.9079598594945605e-05,0.000604755342324787"
