name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
153,"ENSMUSG00000074570,950.85258944645,2.05100634720788,0.20169072465967,10.1690662804089,2.7250834854784e-24,1.72632715948995e-22"
154,"ENSMUSG00000086998,2939.2082515083803,1.5821621600724098,0.155704431481525,10.1613174719446,2.9506202150254903e-24,1.86017361382041e-22"
155,"ENSMUSG00000015944,1903.90073653972,1.56615375423692,0.154730936499742,10.121788115975999,4.422609270672339e-24,2.73531047309355e-22"
156,"ENSMUSG00000115902,965.307643368039,1.95789184138816,0.193910986370008,10.0968587599892,5.7040058063163495e-24,3.5111922534164296e-22"
157,"ENSMUSG00000047657,2135.78664565959,1.6237156534358599,0.16098185905100199,10.0863268880591,6.350135406470049e-24,3.8905759180485495e-22"
158,"ENSMUSG00000035930,809.2602768118761,2.13755596285371,0.211942305265097,10.0855558788985,6.400188862481449e-24,3.90291890913005e-22"
159,"ENSMUSG00000099936,2291.27016812281,1.5603170714213601,0.155195852074485,10.0538580803854,8.83396234882038e-24,5.312590260465709e-22"
160,"ENSMUSG00000028048,475.903802152883,2.63055060009574,0.26183921353691897,10.0464348504654,9.525123323304391e-24,5.70196602610653e-22"
161,"ENSMUSG00000113909,336.83096354072995,3.14292002752771,0.314203356599755,10.0028212987275,1.4811598881407598e-23,8.785971154653169e-22"
162,"ENSMUSG00000080730,1875.2172859828302,1.7209705609353798,0.17213015940351098,9.99807684428529,1.5538528289981196e-23,9.13413487316465e-22"
163,"ENSMUSG00000030472,1149.81731026444,1.89274012356244,0.18938990559189897,9.99388070682584,1.62108198122056e-23,9.48660083180639e-22"
164,"ENSMUSG00000116694,1779.88215089302,1.6103903501993602,0.161839271420799,9.950553633006551,2.5078412018299302e-23,1.44811184441949e-21"
165,"ENSMUSG00000100580,1122.85749346085,1.84161411364885,0.185174835157976,9.94527205642028,2.64450437505275e-23,1.5202987706801098e-21"
166,"ENSMUSG00000102808,1712.39650606138,1.60656124439239,0.161903622320749,9.92294811792179,3.3083710463043197e-23,1.88533808533936e-21"
167,"ENSMUSG00000030785,672.956204389506,2.3902759468759904,0.24184984469058898,9.88330569297653,4.9183109512532897e-23,2.7785263166171196e-21"
168,"ENSMUSG00000104016,246.030652022401,3.73315921623061,0.37817955190925,9.87139362079111,5.53896315265891e-23,3.10229481296991e-21"
169,"ENSMUSG00000074482,770.0331973084931,2.11337015511263,0.21563970220706602,9.80046871463069,1.12064414946375e-22,6.1706355065408995e-21"
170,"ENSMUSG00000102728,2000.3268284690803,1.5620337277865202,0.159975981525445,9.76417655257875,1.60409782704811e-22,8.79557842141924e-21"
171,"ENSMUSG00000033987,1222.5770275393902,1.74779866877672,0.17911362733463002,9.75804406836885,1.70409991821154e-22,9.30481336094587e-21"
172,"ENSMUSG00000056257,1282.7452535547,1.82008182019152,0.18763593420892605,9.700070660052381,3.01289905484028e-22,1.63146608571227e-20"
173,"ENSMUSG00000104546,1384.77185918011,1.6398111233013302,0.16960132944828102,9.668621871277189,4.09859929242375e-22,2.20109962000535e-20"
174,"ENSMUSG00000083798,2173.6413026982,1.6141659856939798,0.167123963486038,9.658495119575301,4.52461432070627e-22,2.4199269215252796e-20"
175,"ENSMUSG00000002748,994.6719288491839,1.9806731773664201,0.20521158351126603,9.651858552408099,4.827278811389669e-22,2.5608125401884197e-20"
176,"ENSMUSG00000081758,1435.05682527974,1.6547437559850902,0.17265764920635096,9.583958565354019,9.339507947367449e-22,4.8948023579576396e-20"
177,"ENSMUSG00000033488,685.149081211541,2.34735614243381,0.245674747404273,9.55473107120406,1.23905302560074e-21,6.41652459686099e-20"
178,"ENSMUSG00000108095,1508.9921197482502,1.57842730536466,0.16544338352324803,9.5405888815303,1.4202353413545e-21,7.32571984374557e-20"
179,"ENSMUSG00000101823,1632.2914374166198,1.5748451816222502,0.16540404847999501,9.52120093851706,1.71189125280105e-21,8.795346790966e-20"
180,"ENSMUSG00000020491,1261.20733753629,1.69548795333228,0.178096454261675,9.520054514061961,1.73088238772466e-21,8.85804516070856e-20"
181,"ENSMUSG00000051900,1061.57264991127,1.8242206248879498,0.19188183850878499,9.50699992800221,1.96240336860459e-21,9.96473305847858e-20"
182,"ENSMUSG00000093622,680.1343326007,2.10748454674319,0.222617063065574,9.46685989708886,2.8838248780235998e-21,1.4586788627212398e-19"
183,"ENSMUSG00000021835,940.9138347957651,1.8549963002893999,0.19709121170762503,9.411867146269259,4.874005039883449e-21,2.4184701813870395e-19"
184,"ENSMUSG00000089343,1046.6796662516301,1.7709161964696598,0.18847230456914998,9.39616141755152,5.659000007462399e-21,2.7763139134355e-19"
185,"ENSMUSG00000021101,744.336083852882,2.0343288913606297,0.21657711813159,9.39309244167053,5.826396664425279e-21,2.8477332011516797e-19"
186,"ENSMUSG00000073684,1453.01785643988,1.5811127831691,0.16869060297649,9.37285631369431,7.05956952691357e-21,3.41212527134156e-19"
187,"ENSMUSG00000086291,1156.24042340934,1.69053136597356,0.18058336685802698,9.36150098088848,7.861186719742108e-21,3.78555301448836e-19"
188,"ENSMUSG00000028755,3092.65507849678,1.5350166546049602,0.164196201517154,9.34867335798018,8.87539302028134e-21,4.25823084245116e-19"
189,"ENSMUSG00000088960,1200.62430098623,1.6750630625802099,0.17922433028902804,9.34618117907818,9.086946340464108e-21,4.3279069249290794e-19"
190,"ENSMUSG00000101526,1213.0904397819802,1.7037009187382501,0.18234034648987302,9.34352134091657,9.31823436449432e-21,4.42192576206003e-19"
191,"ENSMUSG00000092539,550.267621762809,2.28857822287011,0.245821615552195,9.30991449929749,1.2793529528299399e-20,6.049114505228529e-19"
192,"ENSMUSG00000088575,1204.14119486114,1.67642963229388,0.180513667241305,9.28699559381774,1.58704800982025e-20,7.44999155689002e-19"
193,"ENSMUSG00000003379,887.375562258418,1.87463283646833,0.20244531427415402,9.25994678212048,2.04534129662337e-20,9.49882701812634e-19"
194,"ENSMUSG00000033538,1421.60225503397,1.6223062172523701,0.17548428841102,9.244737702400991,2.3581838144064398e-20,1.0874310522262899e-18"
