name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
100,"100,""ENSMUSG00000001829,222.385412024095,1.9688615052159,0.356159283354973,5.52803646354375,3.23834753765592e-08,2.67333515258938e-07"""
101,"101,""ENSMUSG00000100764,424.18763690532205,1.5053100285903098,0.27286232584290604,5.516738244974719,3.4534921226051404e-08,2.8410086764706396e-07"""
102,"102,""ENSMUSG00000108532,386.45712475367304,1.51194267332935,0.27420010726998495,5.514011968786889,3.5074473112254195e-08,2.87870791487945e-07"""
103,"103,""ENSMUSG00000104479,131.2601851761,2.3823618655142798,0.46289598299474,5.14664622946479,2.65184760082614e-07,1.9324111683797903e-06"""
104,"104,""ENSMUSG00000006390,329.543446236431,1.51643209495725,0.295694250378717,5.1283786986559505,2.92248107324674e-07,2.11655761163667e-06"""
105,"105,""ENSMUSG00000116223,300.667338395412,1.5576843773676898,0.306617803645961,5.08021503919676,3.77007864320836e-07,2.68241758210395e-06"""
106,"106,""ENSMUSG00000102480,316.672414864418,1.5442988282355299,0.304653762141919,5.0690292395475,3.9984980613635204e-07,2.82366518131982e-06"""
107,"107,""ENSMUSG00000084076,76.847428648676,3.12289304227121,0.617030070787395,5.06116831273081,4.16695151761347e-07,2.93239121701502e-06"""
108,"108,""ENSMUSG00000071035,169.071723327878,2.03101039439338,0.40475474979890996,5.017879087033379,5.22450400689596e-07,3.6155507455636705e-06"""
109,"109,""ENSMUSG00000103840,127.04879388193399,2.37254579716812,0.47382019292629207,5.00727033711963,5.52073630374604e-07,3.8093887227894e-06"""
110,"110,""ENSMUSG00000107632,264.142982531362,1.6108180623707802,0.32547230420948,4.94917091727112,7.45302771457662e-07,5.03719420823914e-06"""
111,"111,""ENSMUSG00000017734,250.315637337038,2.08552182811068,0.42314528264581897,4.9286188778247695,8.281294020401551e-07,5.55458385857047e-06"""
112,"112,""ENSMUSG00000043068,148.256839482649,2.0788584488337203,0.431206156253976,4.82103146878379,1.42817823156137e-06,9.24660549739415e-06"""
113,"113,""ENSMUSG00000109401,97.79273728122361,2.6046836402630698,0.544176863401565,4.78646523849176,1.6974432291016002e-06,1.08461798752608e-05"""
114,"114,""ENSMUSG00000060216,290.241315520311,1.63167653775326,0.3412628431179289,4.78128976142124,1.7417409481040799e-06,1.1114190212091199e-05"""
115,"115,""ENSMUSG00000070526,119.412567275217,2.31735837864294,0.486655695985563,4.76180264149562,1.91871281132518e-06,1.21558522742542e-05"""
116,"116,""ENSMUSG00000116876,260.902436719944,1.6301574809306398,0.343269733294155,4.74891119961842,2.0451471122187902e-06,1.28877019535994e-05"""
117,"117,""ENSMUSG00000113430,198.694943295211,1.78236922136683,0.386861525223438,4.60725377210202,4.080219213405829e-06,2.42858762088685e-05"""
118,"118,""ENSMUSG00000091426,105.44497546337601,2.3113472282979703,0.517375593172117,4.4674454280433,7.91591958282556e-06,4.47831137421354e-05"""
119,"119,""ENSMUSG00000025577,225.294277029999,1.64302988001863,0.367933788344138,4.46555856534129,7.986012200487019e-06,4.5161616300239205e-05"""
120,"120,""ENSMUSG00000068744,203.71538446960201,1.84802481787019,0.41576447895786606,4.444883849871809,8.79393649035672e-06,4.93757052407425e-05"""
121,"121,""ENSMUSG00000031701,176.044126207453,1.72695140186544,0.3954413329588039,4.36714945537914,1.25878595912789e-05,6.89824444758442e-05"""
122,"122,""ENSMUSG00000108312,188.321393478252,1.6619094159731103,0.381293014250564,4.3586149073295,1.3088819400574601e-05,7.139630944495171e-05"""
123,"123,""ENSMUSG00000082348,112.00119763315399,2.19453309865403,0.517098742457135,4.24393431750792,2.19634663356228e-05,0.00011549163478486699"""
124,"124,""ENSMUSG00000086867,141.307800597334,1.9157681111548897,0.45249579435470094,4.2337810319031695,2.29794700178549e-05,0.00012061028983806299"""
125,"125,""ENSMUSG00000072492,165.012516969917,1.88442993517342,0.447479474098012,4.21120977441901,2.5400673514960997e-05,0.000132191749086311"""
126,"126,""ENSMUSG00000075245,187.44111034602798,1.6262784431274298,0.38817099213847794,4.18959292699354,2.79455323481239e-05,0.000144427731208874"""
127,"127,""ENSMUSG00000102427,141.495612212121,1.7971703094257099,0.43786332104260794,4.1044093511793,4.05349170511597e-05,0.000203047254224444"""
128,"128,""ENSMUSG00000030103,101.060537707564,2.3599673571685402,0.575497220661301,4.10074501221172,4.11822147121414e-05,0.000206143905870034"""
129,"129,""ENSMUSG00000025964,214.83909271806,1.5009676689491298,0.36615886584770896,4.09922525151529,4.14535443810405e-05,0.000207136123351612"""
130,"130,""ENSMUSG00000047905,45.3999639249298,3.33854077330334,0.817599635834138,4.08334425185656,4.43921854535774e-05,0.000220343272296909"""
131,"131,""ENSMUSG00000113328,242.183013425813,1.5213225281531102,0.373541150495423,4.0727039742084505,4.6470472258458706e-05,0.000229613083367048"""
132,"132,""ENSMUSG00000089452,245.52018698770402,1.55492849787911,0.38454808252468603,4.04352165188417,5.26542912326577e-05,0.000257295857054788"""
133,"133,""ENSMUSG00000050944,131.331754862124,2.02569898362098,0.503099166913561,4.02644074337937,5.6627501610797805e-05,0.00027481506948220697"""
134,"134,""ENSMUSG00000038525,151.658132761167,1.71586896009533,0.4262667784944121,4.02534057698757,5.689291368150191e-05,0.00027581964928547403"""
135,"135,""ENSMUSG00000103937,163.430037584355,1.6302641962415299,0.40828968731433896,3.99291054095717,6.52671968362e-05,0.000313734343529559"""
136,"136,""ENSMUSG00000087013,102.84264553741998,2.06797781928958,0.522252314954909,3.95972934934358,7.503475296963791e-05,0.00035657239535990897"""
137,"137,""ENSMUSG00000084917,172.027406326615,1.59606416040971,0.40808037291070903,3.9111514945585,9.18571299103456e-05,0.000427339278262711"""
138,"138,""ENSMUSG00000042439,25.942564960208898,5.336233949512219,1.3780475291423797,3.87231487787158,0.000107806552293189,0.000496001175636672"""
139,"139,""ENSMUSG00000082578,191.92901936386102,1.59804087454518,0.42201331739296793,3.7867072167704303,0.000152656796142728,0.000681328347245709"""
140,"140,""ENSMUSG00000006311,179.13964466181199,1.5411883542922802,0.41087649546425997,3.7509771702828996,0.000176146739475352,0.000773734794234987"""
141,"141,""ENSMUSG00000114232,14.7411217767342,7.33771626848494,1.9745541187583402,3.7161383417027496,0.000202290850152911,0.0008809259708780001"""
142,"142,""ENSMUSG00000032246,52.54998963562961,2.68709071693178,0.733229910465961,3.6647314554096098,0.000247598239724867,0.00105646887468147"""
143,"143,""ENSMUSG00000021990,26.9492293818511,3.94579672765616,1.1047708699458798,3.5715973646639196,0.000354810594990048,0.00146837478487555"""
144,"144,""ENSMUSG00000105719,73.27244917984079,2.13962802440339,0.6086468636111441,3.5153849503287202,0.000439116975796049,0.00176820098895021"""
145,"145,""ENSMUSG00000106357,108.035274307429,1.74615363361159,0.4976603447263879,3.50872568432517,0.000450259043881921,0.0018079278955871"""
146,"146,""ENSMUSG00000107048,124.973049765124,1.6474451116440503,0.46980183593906,3.50668087184263,0.00045373295416375196,0.00182084448404638"""
147,"147,""ENSMUSG00000034342,19.529381328581103,5.49936394698431,1.57790408464921,3.48523335511037,0.0004917080203705191,0.00195771102208229"""
148,"148,""ENSMUSG00000095123,32.1923026746423,3.29868577623846,0.9512210509457589,3.4678435395839,0.000524652659244535,0.00207546204156886"""
149,"149,""ENSMUSG00000095419,3058.2183256811104,1.53770527273266,0.445170957523522,3.45419045592481,0.000551947433656212,0.00217372458859436"""
150,"150,""ENSMUSG00000022159,95.97966298857521,1.7906234036950501,0.531784846147244,3.3671952419630498,0.000759369059999357,0.0028946765139543397"""
151,"151,""ENSMUSG00000045381,29.659890132153603,3.65196263175615,1.0983973746132198,3.32481005159187,0.000884787929881422,0.00332125582319094"""
152,"152,""ENSMUSG00000051147,64.84370799577779,2.13560070212658,0.647950885613389,3.29592990694795,0.0009809648675248382,0.0036492511327092603"""
153,"153,""ENSMUSG00000087204,78.1952788009617,2.18557759563243,0.6817644629276151,3.2057663819072904,0.00134703302266806,0.00485301876884937"""
154,"154,""ENSMUSG00000063506,62.021282840178394,2.2154483345011298,0.69318157555431,3.19605773239072,0.0013931923214116199,0.004996446183573921"""
155,"155,""ENSMUSG00000038331,72.4236086522547,1.98858296647768,0.624282813150768,3.18538797574974,0.0014456005999290901,0.0051504975097071"""
156,"156,""ENSMUSG00000059430,45.0586936626535,2.52773839211858,0.7951043499857471,3.17912786185095,0.0014771891424975,0.00524852304806108"""
157,"157,""ENSMUSG00000040189,73.9274659785951,2.12527147054869,0.67329723993994,3.1565129700194103,0.00159667786266058,0.00563912705122158"""
158,"158,""ENSMUSG00000055494,90.89566623013691,1.77569143549198,0.5658808263376139,3.1379247234515204,0.00170148568034397,0.0059543592262235"""
159,"159,""ENSMUSG00000085611,119.005541943742,1.52079668742181,0.48923256924810105,3.1085352509525603,0.0018801721524317,0.0065328718938796795"""
160,"160,""ENSMUSG00000064566,23.4335799135916,3.5687131862248904,1.14897596326359,3.1059946424712,0.00189640151557827,0.00658280418272036"""
161,"161,""ENSMUSG00000067599,100.569374266933,1.70159670266331,0.549458241610349,3.0968626436037896,0.00195580474931572,0.0067641430856461"""
162,"162,""ENSMUSG00000032504,38.359721620254,2.5793950765258704,0.8449937741971659,3.05256104280363,0.00226897577099615,0.00772280412588455"""
163,"163,""ENSMUSG00000075139,20.224910002722897,4.27055417662193,1.4075118088487601,3.0341160548521002,0.0024124160761293603,0.008150318658346891"""
164,"164,""ENSMUSG00000102376,22.4491413840733,3.99913536808664,1.32742162997992,3.0127092084126494,0.00258926895406371,0.00871456022885875"""
165,"165,""ENSMUSG00000033634,103.370617570525,1.5651070813906398,0.519715292692797,3.01147013258232,0.00259985978006512,0.00874604930999822"""
166,"166,""ENSMUSG00000048967,100.756633027878,1.53847635096006,0.512456966436609,3.0021571599619703,0.00268073740154937,0.00898560450988243"""
167,"167,""ENSMUSG00000104399,68.2597612281322,1.92236350747917,0.641050139618079,2.99877246516858,0.0027106966160048,0.00907103074891833"""
168,"168,""ENSMUSG00000078903,50.0512452774453,2.18911203257062,0.73168612404984,2.9918731005229597,0.00277271493307381,0.00925065467308612"""
169,"169,""ENSMUSG00000036167,17.9496457208127,4.40660545906343,1.4829107265254298,2.9715918701245294,0.00296260222519573,0.00981024383406329"""
170,"170,""ENSMUSG00000051056,20.9491869676827,3.5668939947785097,1.20719516151455,2.9546954034370696,0.00312977885125722,0.0102725781294972"""
171,"171,""ENSMUSG00000070167,64.7394312474754,2.1220716138947497,0.7183335252422101,2.95415923011421,0.0031352219353401,0.0102867560688726"""
172,"172,""ENSMUSG00000115846,51.04374520925239,2.37710370934155,0.819171076349792,2.90184038227262,0.0037097751066027295,0.0119492210459605"""
173,"173,""ENSMUSG00000110343,49.057341359712,2.24985589492568,0.775301792699285,2.9019098319024903,0.0037089527894929,0.0119492210459605"""
174,"174,""ENSMUSG00000100826,19.187985990967103,3.57590662201426,1.26675071466964,2.82289686566062,0.00475918785639592,0.0148630192181889"""
175,"175,""ENSMUSG00000112669,86.4469787188303,1.54245920002146,0.55173516130555,2.79565144329681,0.00517952283429739,0.0160063526332148"""
176,"176,""ENSMUSG00000082512,21.9293812306643,3.27648432518832,1.1860407099689299,2.76253951289257,0.00573536192648713,0.0175226458722035"""
177,"177,""ENSMUSG00000116215,36.642963960429796,2.35045157754538,0.8612340995025591,2.72916687681431,0.0063494563924758295,0.0191416044383513"""
178,"178,""ENSMUSG00000081051,78.1123182746162,1.58312091953894,0.5937233304053521,2.66642868566087,0.00766618691302088,0.0226012911154742"""
179,"179,""ENSMUSG00000106419,54.833118275522004,1.93445110634455,0.732522878512038,2.64080640085122,0.008270896681206709,0.0241329603266682"""
180,"180,""ENSMUSG00000114888,57.257419171988204,1.8049062303917,0.6884497226217049,2.62169650314969,0.008749330723608121,0.025335858346409"""
181,"181,""ENSMUSG00000039706,58.0606718420436,1.77916485269813,0.6807176070026549,2.6136606933559103,0.0089577948201905,0.0258391613567132"""
182,"182,""ENSMUSG00000081194,35.61002164043921,2.1886133960005,0.860130564567307,2.5445129915845897,0.0109430240959335,0.0307394168834015"""
183,"183,""ENSMUSG00000022053,58.7408437172143,1.7027892561960198,0.6755487024397739,2.5206017716358797,0.0117154354490415,0.0326245053216281"""
