Unnamed: 0,E2F1_12hr_dox_rep1,E2F1_12hr_dox_rep2,E2F1_6hr_dox_rep1,E2F1_6hr_dox_rep2,E2F1_2hr_dox_rep1,E2F1_2hr_dox_rep2,E2F1_0hr_rep1,E2F1_0hr_rep2
ENSMUSG00000090957.2,1.9807935571000002,0.0,6.9841165551,4.0037330982,0.0,0.0,5.9085371522,0.0
ENSMUSG00000057036.7,1055.7629659535,1052.0925111493,2537.2297713820003,1065.9939373967,1186.3231916485001,1176.9119070493,2668.6892803967003,1458.7278173344
ENSMUSG00000083505.1,5.9423806714,9.9254010486,5.9863856187,1.0009332746,1.9954973787,2.0100971939,1.9695123841,5.878016725299999
ENSMUSG00000107203.1,0.0,9.9254010486,1.9954618729,0.0,5.9864921362,0.0,1.9695123841,1.9593389084000001
ENSMUSG00000115738.1,0.0,0.0,0.0,1.0009332746,0.9977486893999999,0.0,2.9542685761,0.0
ENSMUSG00000068480.6,9.9039677857,18.8582619923,3.9909237458,21.019598765599998,0.0,1.005048597,0.0,0.0
ENSMUSG00000101784.1,0.0,0.0,0.0,4.0037330982,3.9909947574,5.0252429848,9.8475619203,3.9186778169
ENSMUSG00000106936.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.0,0.0
ENSMUSG00000101610.1,0.0,0.0,0.9977309364,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000109740.1,0.0,0.9925401049,0.9977309364,0.0,0.9977486893999999,1.005048597,0.984756192,0.9796694542000001
ENSMUSG00000107911.1,0.9903967786,0.0,0.0,0.0,0.0,0.0,1.9695123841,0.9796694542000001
ENSMUSG00000089982.7,2.9711903357,0.0,0.0,0.0,0.0,3.0151457908999997,0.0,0.0
ENSMUSG00000117563.1,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000061852.8,1.9807935571000002,1.9850802097,0.9977309364,2.0018665491,0.0,5.0252429848,5.9085371522,2.9390083626999997
