name,0hr,2hr,6hr,12hr,class
ENSMUSG00000003360.15,3917.6981474279,4020.1943878713,3244.0247428195,4386.0347233667,4
ENSMUSG00000029504.5,1953.4608917157,1665.3655251757,2278.1241328779,1881.8560388104,4
ENSMUSG00000028223.8,718.0977099436,726.6501356077,654.6103615563,563.7627795592,4
ENSMUSG00000048489.12,210.6289326574,61.307964415,97.0905276314,51.6120854526,4
ENSMUSG00000022419.16,559.3912583599,425.1355565174,441.411574077,423.8146247743,4
ENSMUSG00000022718.12,1586.084846383,1669.3857195636,2014.878681671,2423.7829360628,4
ENSMUSG00000034731.11,915.011270242,922.6346120165,935.8726117051,579.643421237,4
ENSMUSG00000012117.13,1249.0785541312,1193.9977331978,2222.071869503,2378.1260912393,4
ENSMUSG00000011382.8,0,2.0100971939,2.0018665491,1.9850802097,4
ENSMUSG00000032480.17,2593.1850453217,2563.8789708649,2540.3686508102,2269.9392198098,4
ENSMUSG00000034480.18,649.5208481482,768.8621766804,839.7830173482,764.2558807405,4
ENSMUSG00000043051.17,6.8576861795,11.0555345666,3.0027998237,13.895561468,4
ENSMUSG00000030772.6,2063.1838705884,2149.7989489142,1429.3327160587,1039.1894897861,4
ENSMUSG00000030792.8,0,2.0100971939,0,0.9925401049,1
ENSMUSG00000097589.9,344.8436478856,406.039633175,471.4395723135,621.330105641,4
ENSMUSG00000042388.14,0,3.0151457909,0,0,1
ENSMUSG00000040856.17,159077.746306875,100506.869793977,170283.773332975,145389.259639782,4
ENSMUSG00000041911.3,858.1904418972,992.9880138042,1892.7648221758,1856.0499960841,4
ENSMUSG00000023391.8,510.4077856489,629.1604217019,1365.2729864875,723.5617364413,4
ENSMUSG00000028398.8,1764.3846870512,1436.214445067,1300.2123236416,1652.5792745883,4
ENSMUSG00000057229.11,567.2286139937,633.1806160897,384.3583774276,436.7176461374,4
ENSMUSG00000042102.7,0.9796694542,0,0,0,3
ENSMUSG00000085256.1,14.6950418133,5.0252429848,8.0074661964,7.9403208389,4
ENSMUSG00000019027.8,0,0,0,6.947780734,2
ENSMUSG00000033987.16,65.6378534328,91.4594223241,91.0849279841,75.4330479692,4
ENSMUSG00000052273.4,3.9186778169,2.0100971939,4.0037330982,0,4
ENSMUSG00000031701.6,5550.8071276135,6403.1646112821,7499.99302621,7133.3857336131,4
ENSMUSG00000039768.16,1391.1306249932,1707.5775662484,1266.1805923069,1499.7280984402,4
ENSMUSG00000027679.13,638.7444841518,660.3169282079,754.7036890114,713.6363353928,4
ENSMUSG00000038009.7,49.9631421652,65.3281588029,46.0429306293,36.7239838797,4
ENSMUSG00000000826.16,3824.6295492769,4346.8351818859,5023.6841049711,4536.9008193051,4
ENSMUSG00000053687.15,5.8780167253,6.0302915818,10.0093327455,0,4
ENSMUSG00000021221.15,4.8983472711,4.0201943879,16.0149323928,32.7538234603,2
ENSMUSG00000078919.10,186.1371963019,157.792629724,86.0802616114,124.0675131072,4
ENSMUSG00000063904.4,3476.8468930287,3497.5691174481,2463.2967886698,2922.0380687014,4
ENSMUSG00000022048.8,2030.8547785992,1814.1127175269,2897.7018298249,2264.9765192855,4
ENSMUSG00000029265.4,2206.2156109046,2232.2129338656,2040.9029468093,2241.1555567689,4
ENSMUSG00000020537.9,1467.5448424224,1623.1534841031,1837.7134920755,1839.1768143015,4
ENSMUSG00000015932.8,9120.7226187931,8924.8315410744,8533.9570988211,9286.2052210497,4
ENSMUSG00000049502.17,532.940183096,441.2163340689,351.3275793674,393.0458815237,4
ENSMUSG00000020648.3,182.218518485,195.9844764087,125.1166593189,159.7989568821,4
ENSMUSG00000027368.6,10.7763639964,21.1060205363,29.027064962,19.8508020972,4
ENSMUSG00000086782.2,46.0444643484,32.161555103,58.054129924,57.5673260818,4
ENSMUSG00000087177.7,327.2095977097,354.7821547296,367.3425117602,439.695266452,4
ENSMUSG00000048581.12,819.9833331826,697.5037262957,717.669157853,717.6064958122,4
ENSMUSG00000071332.12,9.7966945422,7.0353401788,4.0037330982,2.9776203146,4
ENSMUSG00000111283.1,0,5.0252429848,4.0037330982,0,4
ENSMUSG00000103030.1,2.9390083627,0,14.0130658437,0,0
ENSMUSG00000022053.13,0,2.0100971939,0,0,1
