,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000107320.1,36.420376294,30.5978035071,20.6417463909,27.703470143,24.5424151405,26.459330934,14.9648374014,17.9697201828
ENSMUSG00000105374.1,0,0,2.948820913,0,0,1.9599504396,0,0
ENSMUSG00000104701.1,0,0,0,0,1.9633932112,0,5.9859349606,0
ENSMUSG00000107227.1,32.4830383163,6.9091814371,102.2257916503,90.0362779648,22.5790219293,36.2590831318,14.9648374014,29.949533638
ENSMUSG00000107246.1,0,1.9740518392,0,0,0,0,0.9976558268,1.9966355759
ENSMUSG00000105183.1,0,0.9870259196,0,0,0,0,0,0
ENSMUSG00000104806.1,1.9686689889,0,2.948820913,0.989409648,0,0,0.9976558268,0
ENSMUSG00000103703.2,10.8276794388,3.9481036783,20.6417463909,1.9788192959,23.5607185349,9.7997521978,16.960149055,12.9781312431
ENSMUSG00000107109.1,3.9373379777,1.9740518392,0,0,0,1.9599504396,0,0
ENSMUSG00000107171.1,8.8590104499,22.7015961504,25.5564479126,23.7458315512,6.8718762394,1.9599504396,12.9695257479,1.9966355759
ENSMUSG00000106736.1,4.9216724722,0,2.948820913,0,0.9816966056,4.8998760989,0,0
ENSMUSG00000106987.1,53.1540626994,57.2475033359,17.6929254779,8.9046868317,1.9633932112,0.9799752198,20.950772362,11.9798134552
ENSMUSG00000107205.1,25.5926968552,28.6237516679,35.3858509559,19.7881929593,8.8352694506,1.9599504396,6.9835907873,3.9932711517
ENSMUSG00000107306.1,16.7336864054,8.8832332763,4.9147015216,3.9576385919,13.7437524787,9.7997521978,2.9929674803,5.9899067276
ENSMUSG00000105860.1,0,0.9870259196,4.9147015216,0,6.8718762394,1.9599504396,6.9835907873,1.9966355759
ENSMUSG00000098243.3,4.9216724722,0,2.948820913,0,4.9084830281,1.9599504396,0.9976558268,1.9966355759
ENSMUSG00000106457.1,10.8276794388,14.8053887938,28.5052688256,14.8411447195,14.7254490843,4.8998760989,4.9882791338,10.9814956673
ENSMUSG00000105701.1,6.890341461,10.8572851154,11.795283652,12.8623254235,0.9816966056,0,0.9976558268,1.9966355759
ENSMUSG00000105161.1,129.9321532651,115.4820325914,267.3597627777,178.0937366336,165.90672635,152.8761342854,124.7069783452,150.745985978
ENSMUSG00000105482.1,1.9686689889,0,0,0.989409648,0,0,0,3.9932711517
ENSMUSG00000105711.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000107278.1,36.420376294,50.3383218988,58.9764182598,83.110410429,42.2129540417,48.9987609889,34.9179539367,40.9310293053
ENSMUSG00000105356.1,3.9373379777,2.9610777588,12.7782239563,15.8305543674,34.3593811968,25.4793557142,1.9953116535,18.9680379707
ENSMUSG00000105446.1,1.9686689889,1.9740518392,0,0,0,1.9599504396,0,0
ENSMUSG00000106354.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000106651.1,18.7023553942,8.8832332763,4.9147015216,20.7776026073,18.6522355068,4.8998760989,3.990623307,1.9966355759
ENSMUSG00000105975.4,6.890341461,0,7.8635224346,0.989409648,1.9633932112,1.9599504396,0,5.9899067276
ENSMUSG00000105643.1,15.7493519109,13.8183628742,32.4370300429,14.8411447195,43.1946506473,16.6595787362,23.9437398423,22.9613091225
ENSMUSG00000106010.1,0,0,0,0,0,1.9599504396,0,0
ENSMUSG00000104580.1,2.9530034833,0,0,0,0,0,0,0
ENSMUSG00000105808.1,0,0,4.9147015216,2.9682289439,0,0.9799752198,0,1.9966355759
ENSMUSG00000106458.1,17.7180208998,0,2.948820913,0,8.8352694506,0,0,0.9983177879
ENSMUSG00000106517.1,0,0,0,0,0.9816966056,0,0,0
ENSMUSG00000105940.1,29.530034833,26.6496998288,9.8294030433,23.7458315512,19.6339321124,9.7997521978,15.9624932282,12.9781312431
ENSMUSG00000104682.1,28.5457003385,29.6107775875,28.5052688256,25.7246508471,24.5424151405,20.5794796153,18.9554607085,10.9814956673
ENSMUSG00000106123.1,0,0,0,5.9364578878,0,0,0,0
ENSMUSG00000104871.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000106682.1,57.0914006771,12.8313369546,30.4711494342,37.5975666227,17.6705389012,23.5194052747,24.941395669,5.9899067276
ENSMUSG00000105596.1,0,0.9870259196,0,0,0,0,0,0
ENSMUSG00000104877.1,1.9686689889,6.9091814371,0,0,0,0,5.9859349606,0.9983177879
ENSMUSG00000106915.1,4.9216724722,0,2.948820913,3.9576385919,8.8352694506,1.9599504396,5.9859349606,0
ENSMUSG00000106251.1,24.6083623608,14.8053887938,40.3005524775,34.6293376788,36.322774408,15.6796035165,3.990623307,4.9915889397
ENSMUSG00000105655.1,16.7336864054,35.532933105,35.3858509559,41.5552052145,43.1946506473,39.1990087911,42.8992005508,22.9613091225
ENSMUSG00000106099.1,315.9713727129,237.8732466199,191.6733593443,137.5279410671,131.5473451533,195.0150687359,122.7116666917,91.8452364899
ENSMUSG00000107160.1,0,0.9870259196,0,0,0,0,0,0
ENSMUSG00000107373.1,3.9373379777,0,0,0,0,0,0,0
ENSMUSG00000106631.2,0,3.9481036783,0,0,1.9633932112,0,0,0
ENSMUSG00000107319.1,0.9843344944,10.8572851154,12.7782239563,8.9046868317,6.8718762394,13.7196530769,3.990623307,3.9932711517
ENSMUSG00000105460.1,6.890341461,0,4.9147015216,0,0,4.8998760989,0.9976558268,10.9814956673
ENSMUSG00000105395.1,20.6710243831,10.8572851154,7.8635224346,23.7458315512,13.7437524787,6.8598265384,12.9695257479,3.9932711517
ENSMUSG00000104626.1,15.7493519109,3.9481036783,2.948820913,1.9788192959,0,4.8998760989,0.9976558268,3.9932711517
ENSMUSG00000105041.1,3.9373379777,6.9091814371,0,9.8940964796,4.9084830281,9.7997521978,0,0
ENSMUSG00000104619.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000106121.1,52.1697282049,28.6237516679,136.6287023018,67.2798560616,15.7071456899,29.3992565933,2.9929674803,10.9814956673
ENSMUSG00000105334.1,1.9686689889,1.9740518392,0,0,0,0,0.9976558268,0
ENSMUSG00000105848.1,3.9373379777,0,2.948820913,0,1.9633932112,4.8998760989,0.9976558268,0.9983177879
ENSMUSG00000105108.1,0,0,0,0.989409648,0,0,0,0
