,EV_0hr_dox_rep1,EV_0hr_dox_rep2,EV_2hr_dox_rep1,EV_2hr_dox_rep2,EV_6hr_dox_rep1,EV_6hr_dox_rep2,EV_12hr_dox_rep1,EV_12hr_dox_rep2
ENSMUSG00000063116.4,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000047048.4,0,1.9930393839,0,0,0,0,0.9925437262,0
ENSMUSG00000045381.6,0,0,0,0,2.992349544,0,1.9850874524,0
ENSMUSG00000073111.3,0,0,0,5.9148451872,0,0,3.9701749048,0
ENSMUSG00000071494.5,1.9932282093,6.9756378437,11.8969103457,1.9716150624,6.982148936,3.9764961952,16.8732433456,1.9995241856
ENSMUSG00000090631.3,17.9390538833,10.9617166116,0.9914091955,3.9432301248,3.989799392,0,3.9701749048,3.9990483712
ENSMUSG00000091983.3,0,0,0,0,0,3.9764961952,0,0
ENSMUSG00000093942.3,0,0,0.9914091955,0,0,0,0,0
ENSMUSG00000068259.4,0,0,0,0,2.992349544,0,0,0
ENSMUSG00000060787.9,0,0,0,0,0,1.9882480976,0,0
ENSMUSG00000109788.1,0,0,0,0.9858075312,0,0,2.9776311786,0
ENSMUSG00000094197.1,0,0,0,0,0,0,0.9925437262,0
ENSMUSG00000075126.4,0.9966141046,0.996519692,0,0,0,0,0.9925437262,0
ENSMUSG00000059031.3,71.7562155331,54.8085830579,28.7508666689,73.9355648406,59.8469908798,62.6298150741,62.5302547512,80.9807295165
ENSMUSG00000048153.6,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000096228.5,0,0,0,0,0,3.9764961952,0,0
ENSMUSG00000108939.2,3.9864564185,0,0,0,0,0,0,0
ENSMUSG00000058244.4,0,0,1.982818391,0,0,0.9941240488,0,0
ENSMUSG00000049280.4,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000073997.3,1.9932282093,1.9930393839,0,0,0,0,0,0
ENSMUSG00000044814.6,0,6.9756378437,0,0,0,3.9764961952,0.9925437262,1.9995241856
ENSMUSG00000043925.7,1.9932282093,0,0,0,0,0,3.9701749048,0
ENSMUSG00000044824.8,0,0,1.982818391,0,0,0,0,1.9995241856
ENSMUSG00000073977.2,0,0,0,0,0,0,0,3.9990483712
ENSMUSG00000094891.2,0.9966141046,1.9930393839,0,1.9716150624,1.994899696,2.9823721464,0,0
ENSMUSG00000040328.16,1.9932282093,8.9686772277,4.9570459774,0.9858075312,0,3.9764961952,1.9850874524,0
ENSMUSG00000060205.3,0,0,0,6.9006527185,0,0.9941240488,6.9478060835,0
ENSMUSG00000081945.4,0,0,0,5.9148451872,0,0,0,0
ENSMUSG00000045132.3,0,0,0.9914091955,0,0,0.9941240488,0,0
ENSMUSG00000045780.3,3.9864564185,0,0,0,0,0,0,0
ENSMUSG00000054666.7,6.9762987324,0,0,0,1.994899696,0,0,1.9995241856
ENSMUSG00000050281.4,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000073926.4,0,2.9895590759,0,0,0.997449848,0,0,0
ENSMUSG00000073925.5,3.9864564185,0,3.9656367819,0,0,0,0,0
ENSMUSG00000073920.4,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000094531.3,0,0,0,0.9858075312,4.98724924,0,0,0
ENSMUSG00000095248.3,0,0,0,0,0,0,1.9850874524,0
ENSMUSG00000047225.8,0,0,0,0,0,3.9764961952,0,0
ENSMUSG00000073907.3,0,0,0,0,0.997449848,0,0,1.9995241856
ENSMUSG00000050266.6,0,1.9930393839,0,0,0,0,0,0
ENSMUSG00000043948.2,1.9932282093,1.9930393839,1.982818391,1.9716150624,0,0,0,0.9997620928
ENSMUSG00000073906.3,1.9932282093,0,1.982818391,5.9148451872,0,0,0,0
ENSMUSG00000096714.2,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000050215.6,0,1.9930393839,5.9484551729,0,2.992349544,0,0,0
ENSMUSG00000046450.3,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000090981.6,1.9932282093,0,1.982818391,6.9006527185,4.98724924,0,0,0
ENSMUSG00000052417.6,0,0.996519692,0,0,0,0,0,0
ENSMUSG00000050030.5,0,0,0,2.9574225936,0,0,1.9850874524,0
ENSMUSG00000068431.3,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000092556.2,0,0,0,8.8722677809,0,1.9882480976,8.9328935359,0
ENSMUSG00000092524.3,0,0,0,3.9432301248,0,0,0,0
ENSMUSG00000067522.3,0,2.9895590759,0,0,0,0.9941240488,0,0
ENSMUSG00000063374.4,0,0.996519692,0,0,0,0,0,0
ENSMUSG00000042801.5,0,0,0,1.9716150624,0,0,0,0
ENSMUSG00000051118.9,0,3.9860787678,0,0,4.98724924,0.9941240488,0,3.9990483712
ENSMUSG00000047868.6,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000094347.2,0,0,1.982818391,0,0,0,0,0
ENSMUSG00000096497.2,4.9830705231,0,0,0,0,3.9764961952,1.9850874524,0
ENSMUSG00000044293.5,0,0,0,1.9716150624,0,0,0.9925437262,0
ENSMUSG00000094080.3,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000059134.2,0,0,0.9914091955,0,0,0,0,0
ENSMUSG00000063715.2,0,3.9860787678,0,0,0,0,0,0
ENSMUSG00000058084.5,0,0,0,0,0,1.9882480976,0,0
ENSMUSG00000110519.2,0,0,0,0,0.997449848,0,0.9925437262,0
ENSMUSG00000052625.8,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000110521.1,8.9695269416,11.9582363035,1.982818391,8.8722677809,10.971948328,22.8648531223,3.9701749048,5.9985725568
ENSMUSG00000094678.5,1.9932282093,0,0,0,0,0,1.9850874524,0
ENSMUSG00000095448.3,0,0,0,1.9716150624,0,0,0,1.9995241856
ENSMUSG00000044454.5,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000049028.8,1.9932282093,0,0,0,0,3.9764961952,0,0
ENSMUSG00000066750.3,0,0,0,0,2.992349544,0.9941240488,1.9850874524,1.9995241856
ENSMUSG00000094588.2,0,0,0,1.9716150624,2.992349544,0,0,0
ENSMUSG00000056600.4,5.9796846278,5.9791181518,5.9484551729,5.9148451872,0,5.9647442928,0.9925437262,0
ENSMUSG00000094810.3,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000095377.2,3.9864564185,0,1.982818391,3.9432301248,6.982148936,3.9764961952,3.9701749048,1.9995241856
ENSMUSG00000096477.2,0,8.9686772277,0,14.7871129681,0,1.9882480976,1.9850874524,3.9990483712
ENSMUSG00000061039.5,35.8781077666,31.8886301428,27.7594574734,25.6309958114,34.9107446799,19.8824809759,20.8434182504,24.9940523199
ENSMUSG00000111453.1,0,0,1.982818391,0,0,0,0,0
ENSMUSG00000043827.9,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000095322.2,0,3.9860787678,1.982818391,1.9716150624,2.992349544,1.9882480976,0,5.9985725568
ENSMUSG00000059366.3,0,6.9756378437,0,0,0,0,0,0
ENSMUSG00000059106.5,0,0.996519692,0.9914091955,2.9574225936,2.992349544,0.9941240488,0.9925437262,1.9995241856
ENSMUSG00000093934.2,0,0,0,0,1.994899696,0,3.9701749048,0
ENSMUSG00000044205.7,0,0,0,0,0,0,1.9850874524,0
ENSMUSG00000061972.3,1.9932282093,0,11.8969103457,0,1.994899696,6.9588683416,6.9478060835,0
ENSMUSG00000035069.3,711.5824707034,661.6890754626,584.931425332,619.0871295988,626.398504542,658.1101203027,608.4293041666,685.8367956583
ENSMUSG00000048368.9,113.6140079274,84.7041738167,77.3299172473,99.566560652,112.7118328236,101.4006529772,111.1648973355,89.9785883517
ENSMUSG00000049612.10,0,0.996519692,6.9398643683,0,1.994899696,3.9764961952,12.9030684407,0
ENSMUSG00000074006.3,2.9898423139,2.9895590759,0,1.9716150624,0.997449848,0,8.9328935359,0
ENSMUSG00000066463.13,0,1.9930393839,0,3.9432301248,0,0,0,0
ENSMUSG00000038750.12,0,0,0,1.9716150624,0,0,0,0
ENSMUSG00000045991.19,599.9616909852,501.2494050567,642.4331586697,544.1657572269,624.403604846,557.7035913744,701.7284144303,575.8629654507
ENSMUSG00000045518.8,0,0,0,5.9148451872,0,0,6.9478060835,0
ENSMUSG00000096576.2,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000055933.13,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000038084.16,2618.1052528541,2847.0567599345,2861.2069381495,2878.557991128,2822.783069831,2856.1183921899,2863.4886501151,2874.3160167893
ENSMUSG00000052214.9,1494.9211569399,1592.4384677548,2049.242807053,2006.1183260087,1462.2614771633,1640.3046805128,1374.6730608005,1413.663599214
ENSMUSG00000062257.13,306.957144225,284.0081122091,206.2131126594,165.615665243,381.0258419348,370.8082702008,375.1815285073,427.8981757168
ENSMUSG00000031214.13,710.5858565988,771.3062415783,568.0774690089,640.7748952853,765.0440334136,752.5519049383,843.6621672783,831.8020612065
ENSMUSG00000022562.15,109.6275515089,117.5893236515,91.209645984,80.8362175591,74.8087385998,133.2126225386,105.2096349782,118.9716890428
ENSMUSG00000031394.11,3.9864564185,0,1.982818391,0,1.994899696,3.9764961952,1.9850874524,1.9995241856
ENSMUSG00000058831.13,62.7866885915,52.815543674,21.8110023005,31.5458409987,71.8163890558,37.7767138542,42.679380227,68.9835844029
ENSMUSG00000026525.9,25.9119667203,19.9303938392,39.6563678191,51.2619916228,48.8750425518,45.7297062446,8.9328935359,21.9947660415
ENSMUSG00000043972.8,0,0,0,0,0,5.9647442928,0,0
ENSMUSG00000050511.1,0,0,0,0,0,1.9882480976,0,0
